original_Company Name,lat,lon,formatted,name,housenumber,street,postcode,district,county_code,city,county,state,state_code,country,country_code,
Claritus Management Consulting,12.9336845,77.6185593,"Pylon Management Consulting Pvt, 2nd Main Road, A Adugodi, Bengaluru - 560095, KA, India",Pylon Management Consulting Pvt,,2nd Main Road,560095,Bengaluru South City Corporation,BN,Bengaluru,Bangalore South,Karnataka,KA,India,in,
Axeno,,,,,,,,,,,,,,,,
Writer Information,14.10716,79.88341,"Writer Chhatram, Ryter Satram, Nellore, India",Writer Chhatram,,,,,NE,Ryter Satram,Nellore,Andhra Pradesh,AP,India,in,
Netwoven,,,,,,,,,,,,,,,,
HAL,12.9514658,77.6706175,"HAL Airport, HAL Old Airport Road, Vibhootipura, Bengaluru - 560017, KA, India",HAL Airport,,HAL Old Airport Road,560017,Bengaluru East City Corporation,,Bengaluru,Bangalore East,Karnataka,KA,India,in,
NEC Software Solutions,12.9864281,77.5952553,"Planvisage Software Solutions, 35/1, 2nd Floor, Cunningham Hallmark, Cunningham Road, Vasanth Nagar, Bengaluru - 560001, KA, India",Planvisage Software Solutions,"35/1, 2nd Floor, Cunningham Hallmark",Cunningham Road,560001,Bengaluru Central City Corporation,BN,Bengaluru,Bangalore North,Karnataka,KA,India,in,
Moolya,19.165029,72.8509874,"Dr. Monappa Moolya, Station Road, Goregaon East, Mumbai - 400063, MH, India",Dr. Monappa Moolya,,Station Road,400063,Mumbai Zone 4,MU,Mumbai,Mumbai Suburban District,Maharashtra,MH,India,in,
ColorTokens,,,,,,,,,,,,,,,,
Introlligent,,,,,,,,,,,,,,,,
Ample Technologies,13.0282919,77.5958844,"Ample Technologies, 10th Cross Road, R.T Nagar, Bengaluru - 560032, KA, India",Ample Technologies,,10th Cross Road,560032,Bengaluru North City Corporation,BN,Bengaluru,Bangalore North,Karnataka,KA,India,in,
ETG Digital,19.0128029,72.8277261,"Reliance Digital, Appasaheb Marathe Marg, Prabhadevi, Mumbai - 400025, MH, India",Reliance Digital,,Appasaheb Marathe Marg,400025,Mumbai Zone 2,MU,Mumbai,Mumbai City District,Maharashtra,MH,India,in,
Atidiv,,,,,,,,,,,,,,,,
thinkbridge,,,,,,,,,,,,,,,,
Axioned,,,,,,,,,,,,,,,,
Esri India,28.5381584,77.2885562,"Esri R&D Centre New Delhi, Sarita Vihar Okhla Underpass, Jasola, Delhi - 110025, DL, India",Esri R&D Centre New Delhi,,Sarita Vihar Okhla Underpass,110025,South East Delhi,SW,Delhi,South West Delhi,Delhi,DL,India,in,
AppViewX,,,,,,,,,,,,,,,,
Dixit Infotech Services,12.9246286,80.1087409,"Raysoft Infotech Private Limited, 18/19, Kalyan Nagar 2nd Street, Irumbuliyur, Chennai - 600045, TN, India",Raysoft Infotech Private Limited,18/19,Kalyan Nagar 2nd Street,600045,,KC,Chennai,Tambaram,Tamil Nadu,TN,India,in,
Genzeon,,,,,,,,,,,,,,,,
Appiness Interactive,17.445777,78.378546,"Interactive Science park, Serilingampally, Hyderabad - 501506, AP, India",,,Interactive Science park,501506,West Zone,HY,Hyderabad,Hyderabad,Andhra Pradesh,AP,India,in,
Akal Information Systems,28.583597,77.185648,"Centre for Railway Information Systems, Moti Bagh North, Delhi - 110021, DL, India",,,Centre for Railway Information Systems,110021,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Data Intensity,29.266385,75.995576,"Data, Hissar, India",,,,,,,Data,Hissar,Haryana,HR,India,in,
iValue InfoSolutions,28.5480365,77.2533961,"HD Infosolutions, 89, Nehru Place, Kalkaji Tehsil, Delhi - 110019, DL, India",HD Infosolutions,89,Nehru Place,110019,South East Delhi,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Ivy Mobility,15.5880876,73.7418666,"Ivy Anjuna, Anjuna - Vagator Main Road, Anjuna, Anjuna - 403509, GA, India",Ivy Anjuna,,Anjuna - Vagator Main Road,403509,Dehul Vaddo,NG,Anjuna,Bardez,Goa,GA,India,in,
Cloud Analogy,12.956903,77.728948,"Cloud, Hagadur, Bangalore - 560066, KA, India",,,Cloud,560066,Mahadevapura,BN,Bangalore,Bangalore,Karnataka,KA,India,in,
Gemini Consulting & Services,17.451692,78.38549,"Proventures Education and Consulting Services, Plot No.16, 4th Floor, Triveni Towers Silicon Valley, 100 Feet Road ,Madhapur, Hafeezpet, Hyderabad - 500081, AP, India",Proventures Education and Consulting Services,"Plot No.16, 4th Floor, Triveni Towers Silicon Valley","100 Feet Road ,Madhapur",500081,West Zone,HY,Hyderabad,Hyderabad,Andhra Pradesh,AP,India,in,
The Scalers,20.795814,73.675588,"The Dangs, India",The Dangs,,,,,,,The Dangs,Gujarat,GJ,India,in,
Diamondpick,,,,,,,,,,,,,,,,
Cashapona Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Hitachi Solutions Asia Pacific,,,,,,,,,,,,,,,,
MoEngage,,,,,,,,,,,,,,,,
