original_Names,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,county_code,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
CodeCraft Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Pacific Global,28.694917,77.153953,"Pacific Mall, Shalimar Bagh Paschimi, Delhi - 110035, DL, India",,,Pacific Mall,,Shalimar Bagh Paschimi,110035,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Helius Technologies,10.511779,76.258803,"Helius, Thrissur - 680751, KL, India",,,Helius,,,680751,Thrissur,Thrissur,TS,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
News Technology Services,12.972063,80.243268,"Ford Technology Services, Ward 184, Chennai - 600096, TN, India",,,Ford Technology Services,Perungudi,Ward 184,600096,Chennai,Chennai,CH,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jupitice Justice Technologies,,,,,,,,,,,,,,,,,,,,
TrusTrace,,,,,,,,,,,,,,,,,,,,
Techmango Technology Services,12.972063,80.243268,"Ford Technology Services, Ward 184, Chennai - 600096, TN, India",,,Ford Technology Services,Perungudi,Ward 184,600096,Chennai,Chennai,CH,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Blubirch,,,,,,,,,,,,,,,,,,,,
Contentstack,,,,,,,,,,,,,,,,,,,,
Sandhata Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,Jama Masjid,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Versa Networks,27.323556,82.342063,"Son Versa, Balrampur, India",,,,,,,Son Versa,Balrampur,,Uttar Pradesh,UP,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Luminescent Digital,19.0128029,72.8277261,"Reliance Digital, Appasaheb Marathe Marg, Prabhadevi, Mumbai - 400025, MH, India",Reliance Digital,,Appasaheb Marathe Marg,Mumbai Zone 2,Prabhadevi,400025,Mumbai,Mumbai City District,MU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
bluepineapple,,,,,,,,,,,,,,,,,,,,
