original_Names,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,county_code,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Agile CRM,23.665992,86.119191,"CRM, Bokaro - 827016, JH, India",,,CRM,,,827016,Bokaro,Bokaro,BO,Jharkhand,JH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Saggezza,,,,,,,,,,,,,,,,,,,,
Rane t4u,18.284618,74.255206,"Rane Wasti, Pune, India",,,,,,,Rane Wasti,Pune,,Maharashtra,MH,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Leena AI,11.7953199,75.4698961,"Leena Quarters, estate andaloor road, Chirakkuni, Dharmadom - 670661, KL, India",Leena Quarters,,estate andaloor road,,Chirakkuni,670661,Dharmadom,Thalassery,KN,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
AST LLC,20.349079,85.807721,"AuroIN LLC, TCS Footpath, Bhubaneswar Municipal Corporation - 751024, OR, India",AuroIN LLC,,TCS Footpath,,,751024,Bhubaneswar Municipal Corporation,Cuttack,CU,Odisha,OR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kore.ai,18.7745681,83.3460817,"Kore - 535527, AP, India",,,,,,535527,Kore,Parvathipuram,,Andhra Pradesh,AP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Archwell,12.9821415,77.696903,"Archwell Operations India, 9th Street, Dodda Nekkundi, Bengaluru - 560048, KA, India",Archwell Operations India,,9th Street,Bengaluru East City Corporation,Dodda Nekkundi,560048,Bengaluru,Bangalore East,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vasudhaika Software,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,NH325,,,343001,Jalore,Jalor Tehsil,JL,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Janes,,,,,,,,,,,,,,,,,,,,
Montran Corporation,17.43727,78.38536,"United Technologies Corporation, Serilingampally, Hyderabad, India",United Technologies Corporation,,,West Zone,Serilingampally,,Hyderabad,Hyderabad,HY,Andhra Pradesh,AP,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Amnet Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",Old Padra Road,,,390007,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
C1X,,,,,,,,,,,,,,,,,,,,
LiquidHub,17.4470073,78.3558955,"Liquidhub, Old Bombay Road, Ward 106 Serilingampally, Hyderabad - 500032, TG, India",Liquidhub,,Old Bombay Road,West Zone,Ward 106 Serilingampally,500032,Hyderabad,Serilingampalle mandal,HY,Telangana,TG,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wilco Source,,,,,,,,,,,,,,,,,,,,
BBM,23.0935048,86.2118867,"Barabhum, SH4, Balarampur -, WB, India",Barabhum,,SH4,,,,Balarampur,Balarampur,,West Bengal,WB,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Krish Compusoft Services,,,,,,,,,,,,,,,,,,,,
Rayden Interactive,17.445777,78.378546,"Interactive Science park, Serilingampally, Hyderabad - 501506, AP, India",,,Interactive Science park,West Zone,Serilingampally,501506,Hyderabad,Hyderabad,HY,Andhra Pradesh,AP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SUMERU SOFTWARE SOLUTIONS,12.9864281,77.5952553,"Planvisage Software Solutions, 35/1, 2nd Floor, Cunningham Hallmark, Cunningham Road, Vasanth Nagar, Bengaluru - 560001, KA, India",Planvisage Software Solutions,"35/1, 2nd Floor, Cunningham Hallmark",Cunningham Road,Bengaluru Central City Corporation,Vasanth Nagar,560001,Bengaluru,Bangalore North,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
iauro Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",Old Padra Road,,,390007,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Stellar Information Technology,28.5484727,77.2534986,"Stellar Information Technology Private Limited, 88, Nehru Place, Kalkaji Tehsil, Delhi - 110019, DL, India",Stellar Information Technology Private Limited,88,Nehru Place,South East Delhi,Kalkaji Tehsil,110019,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
iPass,,,,,,,,,,,,,,,,,,,,
